Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.026681410766852,33.2278366849954,0.00930504510158575,0.0440577764321183,897,Percentage of donations,Percentage of total donations,10,NL,*
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.0396707667847616,41.4228116786617,0.00746317446490712,0.071878359104616,598,Percentage of donations,Percentage of total donations,11,PE,...
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.014354814630674,31.3023315748298,0.00554792878385613,0.0231617004774919,880,Percentage of donations,Percentage of total donations,12,NS,*
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.0131227363241906,48.6791304850118,6.02419872795759e-4,0.0256430527755854,837,Percentage of donations,Percentage of total donations,13,NB,...
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.0202765577560529,27.0160163164212,0.0095400354682984,0.0310130800438073,1509,Percentage of donations,Percentage of total donations,24,QC,*
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.0273936223424398,23.6767761067456,0.0146814397421586,0.040105804942721,3289,Percentage of donations,Percentage of total donations,35,ON,*
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.063517997626531,31.2914456981499,0.0245623419767168,0.102473653276345,850,Percentage of donations,Percentage of total donations,46,MB,*
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.0381173331251936,66.8943632202334,-0.0118585091905429,0.0880931754409301,749,Percentage of donations,Percentage of total donations,47,SK,...
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.0454584111882903,36.8597650467158,0.0126175220847946,0.078299300291786,1013,Percentage of donations,Percentage of total donations,48,AB,...
Age group,15 to 24 years,2018,agegr10_1/gs1datot,0.0177452777896996,29.8380725257669,0.00736756472680936,0.0281229908525898,1532,Percentage of donations,Percentage of total donations,59,BC,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.0563741696387029,19.2734521553018,0.0350786736736316,0.0776696656037743,897,Percentage of donations,Percentage of total donations,10,NL,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.116436761740777,24.3405982190931,0.0608886299343854,0.171984893547168,598,Percentage of donations,Percentage of total donations,11,PE,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.0635080874553615,25.3841919553779,0.0319114790004832,0.0951046959102399,880,Percentage of donations,Percentage of total donations,12,NS,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.107943993703618,32.1160684837206,0.0399972030586261,0.175890784348609,837,Percentage of donations,Percentage of total donations,13,NB,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.129815505266543,19.3217485872435,0.0806544625413109,0.178976547991775,1509,Percentage of donations,Percentage of total donations,24,QC,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.130618177706235,17.4316161056176,0.0859920335054427,0.175244321907027,3289,Percentage of donations,Percentage of total donations,35,ON,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.119571520191253,22.6693249217942,0.0664446258332181,0.172698414549288,850,Percentage of donations,Percentage of total donations,46,MB,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.154802373900628,24.4574440575259,0.0805967576382187,0.229007990163037,749,Percentage of donations,Percentage of total donations,47,SK,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.205373802973399,25.1241554792949,0.104242731512073,0.306504874434726,1013,Percentage of donations,Percentage of total donations,48,AB,*
Age group,25 to 34 years,2018,agegr10_2/gs1datot,0.0959347677751569,18.9979483747779,0.0602131743753207,0.131656361174993,1532,Percentage of donations,Percentage of total donations,59,BC,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.106609156791182,23.7299508825964,0.0570253988570327,0.156192914725332,897,Percentage of donations,Percentage of total donations,10,NL,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.0945462317284424,23.1558246310472,0.0516368193694212,0.137455644087464,598,Percentage of donations,Percentage of total donations,11,PE,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.147982700037118,20.5336896677761,0.0884266299742597,0.207538770099976,880,Percentage of donations,Percentage of total donations,12,NS,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.0812962052433808,24.9247159163929,0.0415817525320469,0.121010657954715,837,Percentage of donations,Percentage of total donations,13,NB,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.125246899183275,12.345695333485,0.0949407589238506,0.155553039442699,1509,Percentage of donations,Percentage of total donations,24,QC,NA
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.179014331169336,10.8028772549432,0.141111178670093,0.216917483668579,3289,Percentage of donations,Percentage of total donations,35,ON,NA
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.149526076694077,19.5058685507708,0.092361061594566,0.206691091793587,850,Percentage of donations,Percentage of total donations,46,MB,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.214690501828571,21.6352990593164,0.123652267748011,0.305728735909132,749,Percentage of donations,Percentage of total donations,47,SK,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.195299612967311,18.5178802255446,0.1244168325949,0.266182393339722,1013,Percentage of donations,Percentage of total donations,48,AB,*
Age group,35 to 44 years,2018,agegr10_3/gs1datot,0.126647306990953,14.6863206796519,0.0901923107841768,0.16310230319773,1532,Percentage of donations,Percentage of total donations,59,BC,NA
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.225845142794429,16.9625380750901,0.150760748572142,0.300929537016716,897,Percentage of donations,Percentage of total donations,10,NL,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.106419784341174,21.6451407016375,0.0612725783190718,0.151566990363276,598,Percentage of donations,Percentage of total donations,11,PE,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.128419877446839,17.1076578866778,0.0853601874407785,0.171479567452899,880,Percentage of donations,Percentage of total donations,12,NS,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.173031709993536,20.0607989502625,0.10499833496021,0.241065085026861,837,Percentage of donations,Percentage of total donations,13,NB,*
Age group,45 to 54 years,2018,agegr10_4/gs1datot,0.130041556258948,14.9448582246354,0.0919505848189699,0.168132527698925,1509,Percentage of donations,Percentage of total donations,24,QC,NA
